Exp#,Description ,Flask,Day,Time,Dilution,Aspirated.vol,Meso,Prey,Replicate,Medium,M.Red,M.Blue,M.Undefined,M.Nonfluorescent,M.TotRed,M.TotBlue,TotalMeso,M.Red.meanCh1peak,M.Blue.meanCh1peak,M.Undefined.meanCh1peak,M.Nonfluorescent.meanCh1peak,M.Red.sdCh1peak,M.Blue.sdCh1peak,M.Undefined.sdCh1peak,M.Nonfluorescent.sdCh1peak,M.Red.meanCh2peak,M.Blue.meanCh2peak,M.Undefined.meanCh2peak,M.Nonfluorescent.meanCh2peak,M.Red.sdCh2peak,M.Blue.sdCh2peak,M.Undefined.sdCh2peak,M.Nonfluorescent.sdCh2peak,C.Red,C.Blue,C.Undefined,C.Nonfluorescent,C.TotRed,C.TotBlue,TotalCrypto,C.Red.meanCh1peak,C.Blue.meanCh1peak,C.Undefined.meanCh1peak,C.Nonfluorescent.meanCh1peak,C.Red.sdCh1peak,C.Blue.sdCh1peak,C.Undefined.sdCh1peak,C.Nonfluorescent.sdCh1peak,C.Red.meanCh2peak,C.Blue.meanCh2peak,C.Undefined.meanCh2peak,C.Nonfluorescent.meanCh2peak,C.Red.sdCh2peak,C.Blue.sdCh2peak,C.Undefined.sdCh2peak,C.Nonfluorescent.sdCh2peak,M.Red.ESD,M.Blue.ESD,M.Undefined.ESD,M.Nonfluorescent.ESD,TotalMeso.ESD,C.Red.ESD,C.Blue.ESD,C.Undefined.ESD,C.Nonfluorescent.ESD,TotalCrypto.ESD
2,MR_TA+HP,Flask1,D0,0.33,2,0.199,0,TA+HP,A,F2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,718,444,0,23,732.211704,452.788296,1185,5.343885794,4.932972973,NA,4.42,0.1300877219,0.2296787219,NA,0.3206952674,5.170236769,3.988626126,NA,0,0.1504704837,0.3359446838,NA,0,NA,NA,NA,NA,NA,660.5104596,418.3974099,NA,478.1452174,566.2551055
2,MR_TA+HP,Flask2,D0,0.35,5,0.958,MRTA,TA+HP,A,F2,222,0,12,4,238,0,238,6.102162162,NA,5.170833333,4.38,0.1354991136,NA,0.2608886329,0.1388044188,5.883648649,NA,4.7775,0,0.1468545714,NA,0.6931892697,0,734,347,0,18,746.2220167,352.7779833,1099,5.409223433,4.936282421,NA,4.571111111,0.2247619852,0.2993668865,NA,0.3497207102,5.258242507,4.030951009,NA,0,0.3348519512,0.2540787858,NA,0,9699.429595,NA,10302.35833,5958.0775,9666.949496,722.3555041,297.7804323,NA,464.6905556,584.0793267
2,MR_TA+HP,Flask3,D0,0.35,5,0.962,0,TA+HP,B,F2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,824,387,0,19,836.9281585,393.0718415,1230,5.356492718,4.982144703,NA,4.289473684,0.1324861072,0.2227822184,NA,1.064359347,5.16118932,4.059431525,NA,0.2278947368,0.1470306936,0.2433790352,NA,0.9933701277,NA,NA,NA,NA,NA,785.8342961,332.480646,NA,415.4089474,637.4717398
2,MR_TA+HP,Flask4,D0,0.36,5,0.957,MRTA,TA+HP,B,F2,252,0,11,0,263,0,263,6.106587302,NA,4.947272727,NA,0.1423376979,NA,0.2813215566,NA,5.888650794,NA,4.464545455,NA,0.16708112,NA,0.5944302085,NA,802,402,0,18,813.9900332,408.0099668,1222,5.415012469,4.939975124,NA,3.903888889,0.2480335895,0.2214658699,NA,1.435569733,5.237967581,3.986791045,NA,0.47,0.3371070786,0.2933211684,NA,1.368176115,9659.915833,NA,8360.511818,NA,9605.568137,703.4057232,333.8353234,NA,366.3827778,576.8642226
2,MR_TA+HP,Flask5,D0,0.37,5,0.986,0,TA+HP,C,F2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,793,364,0,12,801.2247191,367.7752809,1169,5.369306431,4.968956044,NA,4.120833333,0.1251005582,0.1988146921,NA,1.329466457,5.152030265,4.006950549,NA,0.3433333333,0.131621738,0.3091716254,NA,1.189341555,NA,NA,NA,NA,NA,764.1701892,330.0753297,NA,407.0266667,625.3367836
2,MR_TA+HP,Flask6,D0,0.38,5,0.96,MRTA,TA+HP,C,F2,272,0,24,2,298,0,298,6.097095588,NA,4.926666667,2.12,0.1324367915,NA,0.4224531532,2.998132752,5.888125,NA,4.489166667,2.21,0.1616673245,NA,0.534642641,3.125411973,818,326,0,14,828.0104895,329.9895105,1158,5.423276284,4.961564417,NA,4.520714286,0.2381744615,0.229318067,NA,0.2991131581,5.239425428,3.975552147,NA,0,0.324014049,0.3370142686,NA,0,9513.327978,NA,9731.209583,9452,9530.463893,721.027555,307.3894172,NA,357.7557143,600.1883161
2,MR_TA+HP,Flask1,D1,1.38,5,0.986,0,TA+HP,A,F2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1145,417,0,13,1154.529449,420.4705506,1575,5.379956332,4.95294964,NA,4.509230769,0.1272287249,0.2095626854,NA,0.2941785608,5.170497817,4.025323741,NA,0,0.1340331091,0.2513501106,NA,0,NA,NA,NA,NA,NA,853.4169258,341.4552518,NA,739.0746154,716.9252
2,MR_TA+HP,Flask2,D1,1.38,5,0.987,MRTA,TA+HP,A,F2,273,0,16,3,292,0,292,6.12974359,NA,5.00125,4.29,0.1487877739,NA,0.3603308665,0.1014889157,5.908424908,NA,4.44625,0,0.1743477626,NA,0.5880008503,0,646,306,0,8,651.4285714,308.5714286,960,5.475417957,4.990882353,NA,2.84125,0.2339059546,0.1882713577,NA,2.364520111,5.270650155,4.018300654,NA,1.59625,0.2469275603,0.2284223607,NA,2.203230988,11367.17707,NA,8800.480625,9805.61,11210.49267,1017.71582,358.1478105,NA,1154.98625,808.6224375
2,MR_TA+HP,Flask3,D1,1.39,5,0.985,0,TA+HP,B,F2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1425,527,0,27,1444.710553,534.2894467,1979,5.375312281,4.966148008,NA,4.467037037,0.1325942691,0.2154228332,NA,0.3158238898,5.129957895,3.982220114,NA,0,0.1494404298,0.305145052,NA,0,NA,NA,NA,NA,NA,817.9830667,355.6105882,NA,520.9392593,690.8024305
2,MR_TA+HP,Flask4,D1,1.4,5,0.959,MRTA,TA+HP,B,F2,329,0,18,2,349,0,349,6.105410334,NA,4.851111111,2.145,0.1846038078,NA,0.29178737,3.033488091,5.875015198,NA,4.282777778,2.15,0.1891236604,NA,0.3317476992,3.040559159,815,301,0,22,831.0663082,306.9336918,1138,5.488368098,4.951196013,NA,4.512727273,0.2248470121,0.2246268716,NA,0.3407160781,5.281779141,4.006744186,NA,0,0.2626773889,0.2749679333,NA,0,11198.71526,NA,10661.76278,9717.55,11162.53338,1016.66346,394.3891362,NA,744.6359091,846.8135677
